articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
CARPS_1-6-2014_PS,-0.006,-0.006,mean,0,MATCH,NA
CARPS_1-6-2014_PS,0.05,0.01,mean,80,MAJOR_ERROR,NA
CARPS_1-6-2014_PS,1,1,sd,0,MATCH,NA
CARPS_1-6-2014_PS,1.01,1.01,sd,0,MATCH,NA
CARPS_1-6-2014_PS,-0.178,-0.178,mean,0,MATCH,NA
CARPS_1-6-2014_PS,0.162,0.162,mean,0,MATCH,NA
CARPS_1-6-2014_PS,0.9,0.9,sd,0,MATCH,NA
CARPS_1-6-2014_PS,1.07,1.07,sd,0,MATCH,NA
CARPS_1-6-2014_PS,1,1,df,0,MATCH,NA
CARPS_1-6-2014_PS,4.01,4.01,df,0,MATCH,NA
CARPS_1-6-2014_PS,0.046,0.046,F,0,MATCH,NA
CARPS_1-6-2014_PS,0.841,0.841,p,0,MATCH,NA
CARPS_1-6-2014_PS,1,1,df,0,MATCH,NA
CARPS_1-6-2014_PS,4.09,4.09,df,0,MATCH,NA
CARPS_1-6-2014_PS,8.05,8.05,F,0,MATCH,NA
CARPS_1-6-2014_PS,0.046,0.046,p,0,MATCH,NA
CARPS_1-6-2014_PS,0.66,0.66,other,0,MATCH,NA
CARPS_1-6-2014_PS,4,4,df,0,MATCH,NA
CARPS_1-6-2014_PS,4,4,df,0,MATCH,NA
CARPS_1-6-2014_PS,7.11,7.11,F,0,MATCH,NA
CARPS_1-6-2014_PS,0.042,0.042,p,0,MATCH,NA
CARPS_1-6-2014_PS,0.88,0.88,other,0,MATCH,NA
CARPS_1-6-2014_PS,4,4,df,0,MATCH,NA
CARPS_1-6-2014_PS,55,55,df,0,MATCH,NA
CARPS_1-6-2014_PS,0.259,0.259,F,0,MATCH,NA
CARPS_1-6-2014_PS,0.9,0.9,p,0,MATCH,NA
